Question,Answer
맨유 선수목록,"""맨유의 선수목록입니다. 1. 안드레 오나나(Andre Onana) 2. 빅터 린델로프(Victor Lindelof) 3. 루크 쇼(Luke Shaw) 4. 라파엘 바란(Raphael Varane) 5. 메이슨 마운트(Mason Mount) 6. 리산드로 마르티네스(Lisandro Martinez) 7. 메이슨 그린우드(Mason Greenwood) 8. 브루노 페르난데스(Bruno Fernandes) 9. 앤서니 마샬(Anthony Martial) 10. 마커스 래쉬포드(Marcus Rashford) 11. 조던 산초(Jadon Sancho) 12. 타이렐 말라시아(Tyrell Malacia) 13. 톰 히튼(Tom Heaton) 14. 크리스티안 에릭센(Christian Eriksen) 15. 마르셀 자비처(Marcel Sabitzer) 16. 아마드 디알로(Amad Diallo) 17. 프레드(Fred) 18. 카세미루(Casemiro) 19. 하파엘 레앙(Raphael Leao) 20. 디오구 달롯(Diogo Dalot) 21. 에딘손 카바니(Edinson Cavani) 22. 아론 완-비사카(Aaron Wan-Bissaka) 23. 브랜든 윌리엄스(Brandon Williams) 24. 해리 매과이어(Harry Maguire) 25. 파쿤도 펠리스트리(Facundo Pellistri) 26. 딘 헨더슨(Dean Henderson) 27. 알렉스 텔레스(Alex Telles) 30. 네마냐 마티치(Nemanja Matic) 31. 스콧 맥토미니(Scott McTominay) 33. 필 존스(Phil Jones) 34. 돈니 판 더 비크(Donny van de Beek) 36. 안토니(Anthony)"""
맨유의 1번은 누구야,맨유의 1번은 알타이 바인디르(Altay Bayındır)입니다.
맨유의 1번,맨유의 1번은 알타이 바인디르(Altay Bayındır)입니다.
맨유의 2번은 누구야,맨유의 2번은 빅토르 린델로프(Victor Lindelöf)입니다.
맨유의 2번,맨유의 2번은 빅토르 린델로프(Victor Lindelöf)입니다.
맨유의 5번은 누구야,맨유의 5번은 해리 매과이어(Harry Maguire)입니다.
맨유의 5번,맨유의 5번은 해리 매과이어(Harry Maguire)입니다.
맨유의 6번은 누구야,맨유의 6번은 리산드로 마르티네즈(Lisandro Martínez)입니다.
맨유의 6번,맨유의 6번은 리산드로 마르티네즈(Lisandro Martínez)입니다.
맨유의 12번은 누구야,맨유의 12번은 타이렐 말라시아(Tyrell Malacia)입니다.
맨유의 12번,맨유의 12번은 타이렐 말라시아(Tyrell Malacia)입니다.
맨유의 20번은 누구야,맨유의 20번은 디오고 달롯(Diogo Dalot)입니다.
맨유의 20번,맨유의 20번은 디오고 달롯(Diogo Dalot)입니다.
맨유의 23번은 누구야,맨유의 23번은 루크 쇼(Luke Shaw)입니다.
맨유의 23번,맨유의 23번은 루크 쇼(Luke Shaw)입니다.
맨유의 29번은 누구야,맨유의 29번은 에런 완-비사카(Aaron Wan-Bissaka)입니다.
맨유의 29번,맨유의 29번은 에런 완-비사카(Aaron Wan-Bissaka)입니다.
맨유의 35번은 누구야,맨유의 35번은 조니 에반스(Jonny Evans)입니다.
맨유의 35번,맨유의 35번은 조니 에반스(Jonny Evans)입니다.
맨유의 4번은 누구야,맨유의 4번은 소피안 암라바트(Sofyan Amrabat)입니다.
맨유의 4번,맨유의 4번은 소피안 암라바트(Sofyan Amrabat)입니다.
맨유의 7번은 누구야,맨유의 7번은 메이슨 마운트(Mason Mount)입니다.
맨유의 7번,맨유의 7번은 메이슨 마운트(Mason Mount)입니다.
맨유의 8번은 누구야,맨유의 8번은 브루노 페르난데스(Bruno Fernandes)입니다.
맨유의 8번,맨유의 8번은 브루노 페르난데스(Bruno Fernandes)입니다.
맨유의 14번은 누구야,맨유의 14번은 크리스티안 에릭센(Christian Eriksen)입니다.
맨유의 14번,맨유의 14번은 크리스티안 에릭센(Christian Eriksen)입니다.
맨유의 16번은 누구야,맨유의 16번은 아마드 디알로(Amad Diallo)입니다.
맨유의 16번,맨유의 16번은 아마드 디알로(Amad Diallo)입니다.
맨유의 18번은 누구야,맨유의 18번은 카세미루(Casemiro)입니다.
맨유의 18번,맨유의 18번은 카세미루(Casemiro)입니다.
맨유의 28번은 누구야,맨유의 28번은 파쿤도 펠리스트리(Facundo Pellistri)입니다.
맨유의 28번,맨유의 28번은 파쿤도 펠리스트리(Facundo Pellistri)입니다.
맨유의 37번은 누구야,맨유의 37번은 코비 마이누(Kobbie Mainoo)입니다.
맨유의 37번,맨유의 37번은 코비 마이누(Kobbie Mainoo)입니다.
맨유의 39번은 누구야,맨유의 39번은 스콧 맥토미니(Scott McTominay)입니다.
맨유의 39번,맨유의 39번은 스콧 맥토미니(Scott McTominay)입니다.
맨유의 44번은 누구야,맨유의 44번은 다니엘 고어(Daniel Gore)입니다.
맨유의 44번,맨유의 44번은 다니엘 고어(Daniel Gore)입니다.
맨유의 46번은 누구야,맨유의 46번은 한니발 메브리(Hannibal Mejbri)입니다.
맨유의 46번,맨유의 46번은 한니발 메브리(Hannibal Mejbri)입니다.
맨유의 10번은 누구야,맨유의 10번은 마커스 래쉬포드(Marcus Rashford)입니다.
맨유의 10번,맨유의 10번은 마커스 래쉬포드(Marcus Rashford)입니다.
맨유의 11번은 누구야,맨유의 11번은 라스무스 호일룬드(Rasmus Højlund)입니다.
맨유의 11번,맨유의 11번은 라스무스 호일룬드(Rasmus Højlund)입니다.
맨유의 17번은 누구야,맨유의 17번은 알레한드로 가르나초(Alejandro Garnacho)입니다.
맨유의 17번,맨유의 17번은 알레한드로 가르나초(Alejandro Garnacho)입니다.
맨유의 21번은 누구야,맨유의 21번은 안토니(Antony)입니다.
맨유의 21번,맨유의 21번은 안토니(Antony)입니다.
맨유의 25번은 누구야,맨유의 25번은 제이든 산초(Jadon Sancho)입니다.
맨유의 25번,맨유의 25번은 제이든 산초(Jadon Sancho)입니다.
맨유의 47번은 누구야,맨유의 47번은 숄라 쇼어타이어(Shola Shoretire)입니다.
맨유의 47번,맨유의 47번은 숄라 쇼어타이어(Shola Shoretire)입니다.
맨유의 응원가 알려줘,"맨체스터 유나이티드(맨유)의 응원가는 다양한 시기에 걸쳐 많은 곡들이 존재합니다. 대표적인 곡들 몇 가지를 소개해 드리겠습니다.

Glory, Glory Man United:

이 곡은 ""Glory, Glory Hallelujah""의 멜로디에 맞춰 부르며, 맨유 팬들이 가장 자주 부르는 응원가 중 하나입니다. 가사는 ""Glory, Glory, Man United, And the reds go marching on, on, on…""로 시작합니다​ (FanChants)​​ (Sporting News)​.
United Road:

""Take me home, United Road, To the place, I belong; To Old Trafford, to see United; Take me home, United Road."" 이 곡은 팬들이 올드 트래포드로 향하는 길을 노래하는 응원가입니다​ (SEA Forums)​.
We Love United:

""We love United, we do, We love United, we do, Oh, United we love you!""로 반복되는 단순한 곡조의 응원가로, 경기 중 팬들이 자주 부르는 곡입니다​ (SEA Forums)​.
20 Times Man United:

""20 times, 20 times Man United, 20 times, 20 times I say""로 시작하는 이 응원가는 맨유의 리그 우승 횟수를 기념하는 곡입니다​ (Home)​.
Ole's at the Wheel:

이 곡은 올레 군나르 솔샤르가 감독으로 있을 때 팬들이 많이 불렀던 곡으로, ""Ole’s at the wheel, Tell me how good does it feel, We've got Sanchez, Paul Pogba and Fred, Marcus Rashford's a Manc born and bred""로 시작합니다​ (Sporting News)​."
맨유 라이언 긱스에 대한 응원가가 머야,"맨체스터 유나이티드의 라이언 긱스에 대한 응원가는 ""Ryan Giggs""로 알려져 있습니다. 이 응원가는 긱스가 뛰어난 기량을 자랑하며 맨유의 중요한 선수였을 때 팬들이 자주 불렀던 노래입니다. 다음은 이 응원가의 일부 가사입니다:

""Ryan Giggs, Ryan Giggs, running down the wing""
""Feared by the blues, loved by the reds""
이 노래는 긱스가 상대팀을 두려워하게 만들고, 맨유 팬들에게 사랑받는 선수임을 강조합니다. 더 자세한 내용과 전체 가사는 아래 링크에서 확인할 수 있습니다:"
맨유 웨인 루니의 응원가가 뭐야?,"웨인 루니에 대한 맨체스터 유나이티드의 응원가는 ""Wayne Rooney (Wazza)""입니다. 이 응원가는 루니의 뛰어난 경기력을 기념하며 팬들이 경기장에서 자주 부르는 곡입니다. 응원가의 일부 가사는 다음과 같습니다:

""I saw my mate the other day""
""He said to me, he’s seen the white Pele""
""So I asked, who is he?""
""He goes by the name of Wayne Rooney""
""Wayne Rooney (Wazza)""
이 노래는 루니를 백인의 펠레라고 칭하며 그의 축구 재능을 칭송하는 내용입니다. 팬들이 루니를 얼마나 사랑하고 존경하는지를 보여주는 곡입니다."
맨유의 크리스티아누 호날두의 응원가가 뭐야,"맨체스터 유나이티드 팬들은 크리스티아누 호날두를 기념하기 위해 여러 가지 응원가를 만들었습니다. 가장 유명한 응원가 중 하나는 ""Viva Ronaldo""입니다. 이 응원가는 호날두의 뛰어난 능력과 팀에 대한 그의 기여를 찬양하는 내용으로 구성되어 있습니다. 가사의 일부는 다음과 같습니다:

""Viva Ronaldo, Viva Ronaldo""
""Running down the wing, Hear United sing""
""Viva Ronaldo""
또 다른 응원가로는 ""That Boy Ronaldo""가 있습니다. 이 곡은 다음과 같은 가사를 포함합니다:

""He plays on the left, He plays on the right""
""That boy Ronaldo, Makes England look shite""
이 응원가들은 호날두의 기량과 그의 경기 스타일을 기념하는 노래들로, 팬들이 경기 중에 자주 부르는 곡입니다.
"
맨유의 박지성의 응원가가 뭐야?,"맨체스터 유나이티드 팬들은 박지성을 기념하기 위해 특별한 응원가를 만들었습니다. 이 응원가는 ""Park, Park, wherever you may be""로 알려져 있으며, 박지성의 성실함과 경기력, 그리고 그의 한국 출신 배경을 기념하는 내용이 담겨 있습니다. 가사의 일부는 다음과 같습니다:

""Park, Park, wherever you may be""
""You eat dogs in your home country""
""But it could be worse, you could be Scouse""
""Eating rats in your council house""
이 응원가는 유머러스한 요소를 포함하고 있으며, 박지성의 팬들이 그의 노력을 존경하고 사랑하는 마음을 담고 있습니다."
데이비드 베컴의 응원가가 뭐야,"맨체스터 유나이티드 팬들은 데이비드 베컴을 기리기 위해 여러 응원가를 만들었으며, 그 중 가장 유명한 것 중 하나는 ""David Beckham Song""입니다. 이 응원가는 베컴의 뛰어난 프리킥 능력과 그의 팀에 대한 기여를 칭송하는 내용으로 구성되어 있습니다. 가사의 일부는 다음과 같습니다:

""David Beckham, he's our man""
""He can do it like no one can""
""From the left or from the right""
""He'll score a goal all night""
이 응원가는 베컴의 다재다능함과 그의 중요한 경기 순간들을 기념하는 노래입니다."
맨유의 부주장은 누구야?,맨유의 부주장은 카세미루(Casemiro)입니다.
맨유의 UEFA 랭킹은 몇 위야?,맨유의 UEFA 랭킹은 11위입니다.
맨유의 역대 한국인 선수는 누구야?,맨유의 역대 한국인 선수는 박지성입니다(2005~2012).
맨유의 클럽 앰버서더는 누구야?,"맨유의 클럽 앰버서더는 바비 찰튼 경(Sir Bobby Charlton), 데니스 로(Denis Law), 브라이언 롭슨(Bryan Robson), 데니스 어윈(Denis Irwin), 페테르 슈마이켈(Peter Schmeichel), 게리 네빌(Gary Neville), 앤디 콜(Andrew Cole), 드와이트 요크(Dwight Yorke), 미카엘 실베스트르(Mikaël Silvestre), 네마냐 비디치(Nemanja Vidić)입니다."
맨유의 클럽 명예의 전당 멤버는 누구야?,맨유의 클럽 명예의 전당 멤버는 알렉스 퍼거슨 경(Sir Alex Ferguson)입니다.
맨유의 공식 웹사이트는 뭐야?,맨유의 공식 웹사이트는 Manchester United FC Official Website입니다.
맨유의 최근 영입 선수는 누구야?,"맨유의 최근 영입 선수는 소피앙 암라바트(Sofyan Amrabat)입니다(2023년, From ACF 피오렌티나, 선 임대+€20+5m 선택이적 옵션)."
맨유의 최근 방출 선수는 누구야?,"맨유의 최근 방출 선수는 이사크 한센오뢰엔(Isak Hansen-Aarøen)입니다(2024년, To SV 베르더 브레멘)."
맨유의 최다 출장 선수는 누구야?,맨유의 최다 출장 선수는 라이언 긱스(Ryan Giggs)입니다 - 963경기 (1991~2014).
맨유의 최다 득점 선수는 누구야?,맨유의 최다 득점 선수는 웨인 루니(Wayne Rooney)입니다 - 253골 (2004~2017).
맨유의 최다 도움 선수는 누구야?,맨유의 최다 도움 선수는 라이언 긱스(Ryan Giggs)입니다 - 162도움 (1991~2014).
맨유의 1959-60 시즌 리그 득점왕은 누구야?,맨유의 1959-60 시즌 리그 득점왕은 데니스 바이올렛(Dennis Viollet)입니다 - 32골입니다.
맨유의 1967-68 시즌 리그 득점왕은 누구야?,맨유의 1967-68 시즌 리그 득점왕은 조지 베스트(George Best)입니다 - 28골입니다.
맨유의 1998-99 시즌 리그 득점왕은 누구야?,맨유의 1998-99 시즌 리그 득점왕은 드와이트 요크(Dwight Yorke)입니다 - 18골입니다.
맨유의 2002-03 시즌 리그 득점왕은 누구야?,맨유의 2002-03 시즌 리그 득점왕은 뤼트 판니스텔로이(Ruud van Nistelrooy)입니다 - 25골입니다.
맨유의 2007-08 시즌 리그 득점왕은 누구야?,맨유의 2007-08 시즌 리그 득점왕은 크리스티아누 호날두(Cristiano Ronaldo)입니다 - 31골입니다.
맨유의 2010-11 시즌 리그 득점왕은 누구야?,맨유의 2010-11 시즌 리그 득점왕은 디미타르 베르바토프(Dimitar Berbatov)입니다 - 20골입니다.
맨유의 2012-13 시즌 리그 득점왕은 누구야?,맨유의 2012-13 시즌 리그 득점왕은 로빈 반 페르시(Robin van Persie)입니다 - 26골입니다.
맨유의 1967-68 시즌 리그 도움왕은 누구야?,맨유의 1967-68 시즌 리그 도움왕은 팻 크레란드(Pat Crerand)입니다 - 5도움입니다.
맨유의 1992-93 시즌 리그 도움왕은 누구야?,맨유의 1992-93 시즌 리그 도움왕은 에릭 칸토나(Éric Cantona)입니다 - 16도움입니다.
맨유의 1996-97 시즌 리그 도움왕은 누구야?,맨유의 1996-97 시즌 리그 도움왕은 에릭 칸토나(Éric Cantona)입니다 - 12도움입니다.
맨유의 1997-98 시즌 리그 도움왕은 누구야?,맨유의 1997-98 시즌 리그 도움왕은 데이비드 베컴(David Beckham)입니다 - 13도움입니다.
맨유의 1999-00 시즌 리그 도움왕은 누구야?,맨유의 1999-00 시즌 리그 도움왕은 데이비드 베컴(David Beckham)입니다 - 15도움입니다.
맨유의 2000-01 시즌 리그 도움왕은 누구야?,맨유의 2000-01 시즌 리그 도움왕은 데이비드 베컴(David Beckham)입니다 - 12도움입니다.
맨유의 2006-07 시즌 리그 도움왕은 누구야?,맨유의 2006-07 시즌 리그 도움왕은 웨인 루니(Wayne Rooney)입니다 - 11도움입니다.
맨유의 2010-11 시즌 리그 도움왕은 누구야?,맨유의 2010-11 시즌 리그 도움왕은 나니(Nani)입니다 - 14도움입니다.
맨유의 1994-95 시즌 리그 클린시트왕은 누구야?,맨유의 1994-95 시즌 리그 클린시트왕은 페테르 슈마이켈(Peter Schmeichel MBE)입니다 - 21회입니다.
맨유의 1995-96 시즌 리그 클린시트왕은 누구야?,맨유의 1995-96 시즌 리그 클린시트왕은 페테르 슈마이켈(Peter Schmeichel MBE)입니다 - 18회입니다.
맨유의 1997-98 시즌 리그 클린시트왕은 누구야?,맨유의 1997-98 시즌 리그 클린시트왕은 페테르 슈마이켈(Peter Schmeichel MBE)입니다 - 16회입니다.
맨유의 2000-01 시즌 리그 클린시트왕은 누구야?,맨유의 2000-01 시즌 리그 클린시트왕은 파비앵 바르테즈(Fabien Barthez)입니다 - 15회입니다.
맨유의 2008-09 시즌 리그 클린시트왕은 누구야?,맨유의 2008-09 시즌 리그 클린시트왕은 에드윈 반 데 사르(Edwin van der Sar)입니다 - 22회입니다.
맨유의 2017-18 시즌 리그 클린시트왕은 누구야?,맨유의 2017-18 시즌 리그 클린시트왕은 다비드 데 헤아(David de Gea)입니다 - 18회입니다.
맨유의 2022-23 시즌 리그 클린시트왕은 누구야?,맨유의 2022-23 시즌 리그 클린시트왕은 다비드 데 헤아(David de Gea)입니다 - 17회입니다.
맨유의 역사 알려줘,"맨체스터 유나이티드 FC의 역사
창단과 초기 역사 (1878-1945):

1878년: 맨체스터 유나이티드는 ""뉴튼 히스 LYR 축구 클럽""으로 창단되었습니다. 초기에는 철도 노동자들에 의해 설립되었으며, 지역 리그에서 활약했습니다.
1902년: 재정 위기에 처했던 뉴튼 히스는 지역 사업가들의 지원을 받아 ""맨체스터 유나이티드""로 개명되었습니다.
1908년: 맨유는 첫 번째 리그 우승을 차지하며, 1911년에는 두 번째 리그 타이틀을 획득했습니다.
1945년: 제2차 세계 대전 이후, 맷 버스비가 감독으로 부임하면서 클럽의 역사에 중요한 전환점이 되었습니다.
매트 버스비 시대 (1945-1969):

1950년대: 맷 버스비 감독 아래 맨유는 FA컵(1948)과 리그 우승(1952, 1956, 1957)을 차지하며 성공을 거두었습니다.
1958년: 뮌헨 비행기 참사가 발생하여 팀 선수들과 스태프 중 많은 이들이 목숨을 잃었습니다.
1968년: 맷 버스비의 재건 노력으로 맨유는 첫 번째 유러피언 컵(현재의 UEFA 챔피언스 리그) 우승을 차지하였습니다.
알렉스 퍼거슨 시대 (1986-2013):

1986년: 알렉스 퍼거슨이 감독으로 부임하면서 클럽은 새로운 황금기를 맞이하게 되었습니다.
1990년대: 맨유는 1993년부터 1999년까지 7번의 프리미어 리그 우승을 차지했습니다. 1999년에는 역사적인 트레블(프리미어 리그, FA컵, 챔피언스 리그 우승)을 달성했습니다.
2000년대: 퍼거슨 감독 아래 맨유는 계속해서 성공을 이어갔으며, 2008년에는 또 한 번의 챔피언스 리그 우승을 차지했습니다.
포스트 퍼거슨 시대 (2013-현재):

2013년: 알렉스 퍼거슨 감독이 은퇴한 후, 맨유는 여러 감독들을 거치며 안정된 성공을 찾기 위해 노력해왔습니다.
2016-2017 시즌: 조세 무리뉴 감독 아래 UEFA 유로파 리그 우승을 차지했습니다.
현재: 맨유는 에릭 텐하흐 감독 아래 리그와 유럽 대항전에서 다시금 성공을 목표로 하고 있습니다.
맨체스터 유나이티드는 축구 역사상 가장 성공적인 클럽 중 하나로, 수많은 리그 타이틀, 컵 대회 우승, 그리고 유럽 대항전에서의 성공을 기록해왔습니다. 클럽은 전 세계 수많은 팬들에게 사랑받으며, 그 영향력은 지금도 계속되고 있습니다."
맨유의 역대 선수들을 알려줘,"맨체스터 유나이티드의 역대 선수들은 클럽의 성공과 역사에 큰 기여를 한 인물들로 구성되어 있습니다. 다음은 맨유의 대표적인 역대 선수들입니다:

전설적인 선수들
1. 조지 베스트 (George Best)

포지션: 윙어
활약 기간: 1963-1974
특징: 뛰어난 드리블 능력과 창의적인 플레이로 유명했습니다. 1968년 유럽 축구 연맹(UEFA) 올해의 선수상을 수상했습니다.
2. 보비 찰튼 경 (Sir Bobby Charlton)

포지션: 미드필더/포워드
활약 기간: 1956-1973
특징: 맨유와 잉글랜드 국가대표팀의 상징적인 선수로, 1966년 월드컵 우승을 이끌었습니다.
3. 에릭 칸토나 (Eric Cantona)

포지션: 포워드
활약 기간: 1992-1997
특징: 1990년대 초반 맨유의 부흥을 이끈 핵심 선수로, 프리미어 리그 우승을 여러 차례 경험했습니다.
4. 라이언 긱스 (Ryan Giggs)

포지션: 윙어
활약 기간: 1990-2014
특징: 맨유에서만 963경기를 소화하며 가장 많은 출장을 기록한 선수입니다. 프리미어 리그 우승 13회를 포함한 수많은 트로피를 획득했습니다.
5. 폴 스콜스 (Paul Scholes)

포지션: 미드필더
활약 기간: 1993-2011, 2012-2013
특징: 뛰어난 패스 능력과 골 결정력을 가진 미드필더로, 맨유의 중원을 오랫동안 지배했습니다.
6. 로이 킨 (Roy Keane)

포지션: 미드필더
활약 기간: 1993-2005
특징: 강력한 태클과 리더십으로 맨유의 주장으로서 팀을 이끌었습니다.
7. 웨인 루니 (Wayne Rooney)

포지션: 포워드
활약 기간: 2004-2017
특징: 맨유의 역대 최다 득점자로, 다양한 공격 포지션에서 활약했습니다.
8. 데이비드 베컴 (David Beckham)

포지션: 미드필더
활약 기간: 1992-2003
특징: 정교한 프리킥과 크로스로 유명한 미드필더입니다.
9. 크리스티아누 호날두 (Cristiano Ronaldo)

포지션: 윙어/포워드
활약 기간: 2003-2009, 2021-2023
특징: 세계 최고의 선수 중 한 명으로, 맨유에서의 첫 번째 기간 동안 많은 성공을 거두었습니다.
10. 피터 슈마이켈 (Peter Schmeichel)

포지션: 골키퍼
활약 기간: 1991-1999
특징: 맨유의 골문을 지킨 전설적인 골키퍼로, 1999년 트레블을 달성할 때 큰 역할을 했습니다."
맨유의 역대 선수들을 알려줘,"역대 선수들
1. 던컨 에드워즈 (Duncan Edwards)

포지션: 미드필더/수비수
활약 기간: 1953-1958
특징: 맨유의 가장 유망한 선수 중 하나로, 1958년 뮌헨 비행기 참사로 인해 안타깝게 생을 마감했습니다.
2. 데니스 로 (Denis Law)

포지션: 포워드
활약 기간: 1962-1973
특징: 1964년 발롱도르 수상자로, 맨유에서 237골을 기록했습니다.
3. 브라이언 롭슨 (Bryan Robson)

포지션: 미드필더
활약 기간: 1981-1994
특징: '캡틴 마블'로 불리며, 맨유와 잉글랜드 국가대표팀의 주장이었습니다.
4. 스티브 브루스 (Steve Bruce)

포지션: 수비수
활약 기간: 1987-1996
특징: 맨유의 첫 프리미어 리그 우승을 이끈 수비수로, 중요한 골들을 많이 기록했습니다.
5. 게리 네빌 (Gary Neville)

포지션: 수비수
활약 기간: 1992-2011
특징: 맨유의 오른쪽 수비를 오랫동안 지킨 선수로, 현재는 축구 해설가로 활동 중입니다.
6. 앤디 콜 (Andrew Cole)

포지션: 포워드
활약 기간: 1995-2001
특징: 드와이트 요크와 함께 맨유의 공격을 이끌며, 많은 득점을 기록했습니다.
7. 네마냐 비디치 (Nemanja Vidić)

포지션: 수비수
활약 기간: 2006-2014
특징: 리오 퍼디난드와 함께 맨유의 수비를 책임지며, 다수의 리그 타이틀을 획득했습니다.
8. 파트리스 에브라 (Patrice Evra)

포지션: 수비수
활약 기간: 2006-2014
특징: 맨유의 왼쪽 수비를 지킨 선수로, 뛰어난 공격 지원 능력을 갖추었습니다.
9. 로빈 반 페르시 (Robin van Persie)

포지션: 포워드
활약 기간: 2012-2015
특징: 2012-13 시즌 프리미어 리그 득점왕으로, 맨유의 리그 우승에 큰 기여를 했습니다.
10. 다비드 데 헤아 (David de Gea)

포지션: 골키퍼
활약 기간: 2011-2023
특징: 맨유의 주전 골키퍼로, 여러 차례 팀의 위기를 막아낸 뛰어난 선방 능력을 자랑합니다."
클럽의 주요 역사적 순간들이 머야,"뮌헨 비행기 참사 (1958년)

맨유의 팀원들과 스태프를 포함한 23명이 사망한 비극적인 사고입니다. 이 사건은 맷 버스비 감독과 살아남은 선수들이 클럽을 재건하는 계기가 되었습니다.
트레블 (1999년)

맨유는 1998-99 시즌에 프리미어 리그, FA컵, UEFA 챔피언스 리그를 모두 우승하며 트레블을 달성했습니다. 이는 잉글랜드 축구 역사상 최초의 업적이었습니다.
퍼거슨 감독의 은퇴 (2013년)

알렉스 퍼거슨 감독은 2012-13 시즌을 끝으로 은퇴했습니다. 그는 맨유를 26년 동안 이끌며 38개의 트로피를 획득했습니다.
주요 우승 기록
프리미어 리그 (1부)

20회 우승: 1907-08, 1910-11, 1951-52, 1955-56, 1956-57, 1964-65, 1966-67, 1992-93, 1993-94, 1995-96, 1996-97, 1998-99, 1999-00, 2000-01, 2002-03, 2006-07, 2007-08, 2008-09, 2010-11, 2012-13
FA컵

13회 우승: 1908-09, 1947-48, 1962-63, 1976-77, 1982-83, 1984-85, 1989-90, 1993-94, 1995-96, 1998-99, 2003-04, 2015-16, 2023-24
UEFA 챔피언스 리그

3회 우승: 1967-68, 1998-99, 2007-08"
